bowler,style
DKH Mitchell,Pace
JP McIlroy,Pace
L Scott,Pace
SMSM Senanayake,Spin
Hamidullah Qadri,Spin
Diana Baig,Pace
WP Masakadza,Pace
Khaled Ahmed,Pace
WRS Gidman,Pace
KR Mayers,Pace
BJ Gibbon,Pace
MC Henriques,Pace
Simi Singh,Spin
Fatima Sana,Pace
V Permaul,Spin
SS Connell,Spin
H Ssenyondo,Spin
D Brown,Pace
CA Soper,Pace
NJ Carey,Pace
Sandeep Sharma,Pace
DR Smith,Pace
S Rana,Pace
SW Bates,Pace
WJ Durston,Pace
TS Rogers,Pace
SL Rainbird,Pace
AK Kitchen,Pace
Enamul Haque jnr,Spin
AM Phangiso,Pace
HM Rowe,Spin
JD McKay,Pace
MD Shanaka,Spin
E Barnes,Pace
D Foxcroft,Spin
A Ashok,Spin
A Hartley,Spin
JM De Caires,Spin
HNK Jensen,Spin
HV Patel,Spin
D Hazell,Spin
JB Lintott,Spin
AJ McKay,Pace
EL Arlott,Pace
WL Madsen,Spin
H Graham,Pace
DS Airee,Spin
Mohammad Wasim,Spin
Mohammad Saifuddin,Pace
Kaleemullah,Spin
Naved-ul-Hasan,Spin
JJ Cobb,Spin
A Karvelas,Pace
Mahedi Hasan,Pace
A Mohammed,Pace
A Lyth,Spin
L Filer,Pace
MA Leask,Spin
IG Butler,Spin
T Thushara,Pace
NN Odhiambo,Pace
G Ballinger,Pace
C Karunaratne,Pace
KDU Prabodhani,Spin
DL Chahar,Pace
AM Lilley,Spin
Pavandeep Singh,Spin
AH Maqsood,Spin
IDR Bradshaw,Spin
DS Kulkarni,Pace
KTH Ratnayake,Spin
GW Aldridge,Pace
Ali Khan,Pace
RRS Cornwall,Spin
Naveen-ul-Haq,Pace
Aizaz Khan,Pace
Renuka Singh,Spin
RN Sidebottom,Pace
James Middlebrook,Spin
KMA Paul,Pace
P Vastrakar,Pace
NP Winter,Pace
D Gregory,Pace
KK Ahmed,Pace
AN Kelly,Pace
BMAJ Mendis,Spin
BC Fortuin,Spin
Nasir Hossain,Spin
OC McCoy,Pace
SB Davey,Pace
H Kerr,Pace
JR Lennox,Pace
FMK Morris,Pace
HTRY Thornton,Pace
ATE Hazeldine,Pace
ASS Nijjar,Pace
J Hull,Pace
LN Rajbanshi,Pace
Sophia Smale,Spin
AR Adams,Pace
DR Tuffey,Pace
Abu Jayed,Pace
Imran Khan,Pace
M Kartik,Spin
LR Dudding,Pace
J Broad,Pace
J Yadav,Pace
Syed Rasel,Pace
GD Elliott,Pace
MG Erasmus,Pace
R Trumpelmann,Pace
Avesh Khan,Pace
HL Baker,Pace
EA Osborne,Spin
SH Johnson,Pace
JN Frylinck,Pace
AR Nurse,Spin
LI Georgeson,Pace
RP Yadav,Spin
A Vala,Spin
BMSM Kumari,Spin
GI Hume,Pace
L Neil-Smith,Pace
Agha Salman,Spin
E Gray,Pace
F Nsubuga,Spin
Mohammad Naveed,Pace
YK Pathan,Pace
K Ramharack,Pace
Khawar Ali,Spin
Mohammad Hasnain,Pace
TD Andrews,Pace
GK Davis,Pace
JDF Vandersay,Spin
L Balaji,Pace
Nayeem Hasan,Spin
CA Ingram,Pace
B Regmi,Spin
S Kaul,Pace
SC Selman,Pace
Jasdeep Singh,Pace
DL Piedt,Spin
Yasir Arafat,Pace
TB Abell,Pace
PM Seelaar,Spin
Fayyaz Butt,Pace
G Chapple,Pace
Navdeep Saini,Pace
FC Jonas,Pace
KC Brathwaite,Pace
EA Brookes,Spin
Usama Mir,Spin
Zain-ul-Hassan,Pace
N Boochatham,Spin
A Dutt,Spin
AB Dinda,Pace
O Prendergast,Pace
AP Devcich,Pace
CJA Amini,Spin
A Capsey,Spin
AK Markram,Pace
Fahima Khatun,Spin
C Munro,Pace
BI Kellaway,Pace
IAA Thomas,Pace
HASD Siriwardene,Spin
MJ Humphreys,Pace
